Timestamp,Medium 1,Density 1 (kg/m^3),Medium 2,Density 2 (kg/m^3),IFT (mN/m),Temperature (K),Pressure (bar),Salinity (g/L),Inverted Drop,d,D,S,InvH
2024/05/31_08:43:42,Medium 1,784,Medium 2,1.293,18.00403363,298,1,NaN,FALSE,0.001556481,0.001984158,0.784453992,0.595592065
2024/05/31_08:43:42,Medium 1,784,Medium 2,1.293,25.71306193,298,1,NaN,FALSE,0.0019,0.0024,0.791666667,0.581384015
2024/05/31_08:43:42,Medium 1,784,Medium 2,1.293,23.18635867,298,1,NaN,FALSE,0.001766344,0.002251685,0.784453992,0.595592065
2024/05/31_08:43:43,Medium 1,784,Medium 2,1.293,29.72887229,298,1,NaN,FALSE,0.001984675,0.002538462,0.781841672,0.600854108
2024/05/31_08:43:43,Medium 1,784,Medium 2,1.293,26.5620785,298,1,NaN,FALSE,0.001857143,0.002385714,0.778443114,0.607794783
2024/05/31_08:43:43,Medium 1,784,Medium 2,1.293,30.02842648,298,1,NaN,FALSE,0.001974742,0.002536709,0.778466144,0.607747384
2024/05/31_08:43:44,Medium 1,784,Medium 2,1.293,26.45057035,298,1,NaN,FALSE,0.00187974,0.0024,0.783225203,0.598059416
2024/05/31_08:45:48,Toluene,867,Air,1.293,29.489096,298,1,NaN,FALSE,0.001893976,0.002414458,0.784431138,0.59563783
2024/05/31_08:45:49,Toluene,867,Air,1.293,26.71101133,298,1,NaN,FALSE,0.00182796,0.002316279,0.789179619,0.586230796
2024/05/31_08:45:49,Toluene,867,Air,1.293,24.80556124,298,1,NaN,FALSE,0.001786416,0.00225,0.793962526,0.576957848
2024/05/31_08:45:49,Toluene,867,Air,1.293,24.80746877,298,1,NaN,FALSE,0.001786364,0.00225,0.793939394,0.577002215
2024/05/31_08:45:49,Toluene,867,Air,1.293,24.80556124,298,1,NaN,FALSE,0.001786416,0.00225,0.793962526,0.576957848
2024/05/31_08:45:50,Toluene,867,Air,1.293,25.37908128,298,1,NaN,FALSE,0.001806949,0.002275862,0.793962526,0.576957848
2024/05/31_08:45:50,Toluene,867,Air,1.293,26.49699129,298,1,NaN,FALSE,0.001814168,0.002302326,0.787972022,0.588603918
2024/05/31_08:45:50,Toluene,867,Air,1.293,25.06296026,298,1,NaN,FALSE,0.001747125,0.002226667,0.784636806,0.595226165
